"","date","ni","day"
"1",2021-01-01,0,NA
"2",2021-01-02,0,NA
"3",2021-01-03,0,NA
"4",2021-01-04,46,"Mon"
"5",2021-01-05,29,"Tue"
"6",2021-01-06,35,"Wed"
"7",2021-01-07,26,"Thu"
"8",2021-01-08,29,"Fri"
"9",2021-01-09,0,NA
"10",2021-01-10,0,NA
"11",2021-01-11,35,"Mon"
"12",2021-01-12,28,"Tue"
"13",2021-01-13,30,"Wed"
"14",2021-01-14,24,"Thu"
"15",2021-01-15,26,"Fri"
"16",2021-01-16,0,NA
"17",2021-01-17,0,NA
"18",2021-01-18,49,"Mon"
"19",2021-01-19,31,"Tue"
"20",2021-01-20,41,"Wed"
"21",2021-01-21,30,"Thu"
"22",2021-01-22,23,"Fri"
"23",2021-01-23,0,NA
"24",2021-01-24,0,NA
"25",2021-01-25,54,"Mon"
"26",2021-01-26,29,"Tue"
"27",2021-01-27,35,"Wed"
"28",2021-01-28,29,"Thu"
"29",2021-01-29,18,"Fri"
"30",2021-01-30,2,"Sat"
"31",2021-01-31,0,NA
